Date,AAPL,AMZN,ANET,APO,ARES,AVGO,BX,GOOGL,IBM,KKR,META,MSFT,NVDA,OWL,TSM
2021-08-03,143.52,168.31,23.70,54.59,62.26,44.32,96.70,134.44,112.46,62.00,348.18,275.03,19.75,10.28,109.15
2021-08-04,143.12,167.74,23.88,54.80,62.15,44.41,98.03,133.94,111.43,63.18,355.80,274.45,20.20,9.84,109.45
2021-08-05,143.22,168.80,23.79,55.02,62.97,44.40,97.15,135.05,111.44,64.33,359.81,277.33,20.57,9.81,109.90
2021-08-06,142.54,167.25,23.60,55.47,63.14,44.19,95.97,134.55,112.47,64.66,360.35,277.27,20.30,9.81,108.97
2021-08-09,142.49,167.09,23.47,55.16,62.30,44.12,95.92,135.71,111.52,63.95,358.46,276.19,20.23,9.83,108.98
2021-08-10,142.01,166.03,23.23,54.09,61.62,43.90,95.57,135.60,111.63,62.96,357.99,274.38,19.87,9.70,107.26
2021-08-11,142.27,164.61,23.07,53.39,60.76,44.02,96.11,135.08,112.22,62.97,356.83,274.87,19.63,9.78,106.92
2021-08-12,145.22,165.18,22.94,52.91,61.51,44.09,95.30,135.99,112.96,63.24,359.49,277.61,19.84,10.08,106.65
2021-08-13,145.43,164.70,22.75,53.43,63.72,44.26,96.39,136.52,113.05,63.33,360.02,280.52,20.12,10.21,106.47
2021-08-16,147.40,164.95,22.84,53.50,63.63,44.44,96.36,137.09,113.37,62.71,363.37,282.20,19.88,10.28,105.67
2021-08-17,146.49,162.10,22.79,52.48,61.90,43.58,94.72,135.46,112.45,60.91,355.33,280.74,19.39,10.21,102.42
2021-08-18,142.76,160.06,22.63,51.77,61.35,42.69,93.57,134.26,110.12,60.59,352.36,279.02,18.97,10.12,101.81
2021-08-19,143.09,159.39,22.93,50.80,60.74,43.11,92.68,134.49,108.97,59.64,352.03,284.82,19.73,10.12,101.88
2021-08-20,144.54,160.00,23.12,51.08,60.87,43.26,95.14,136.22,109.83,60.71,356.24,292.10,20.74,9.87,99.66
2021-08-23,146.02,163.29,23.14,52.11,62.04,43.92,97.21,138.81,110.24,61.77,360.19,292.38,21.88,10.12,102.28
2021-08-24,145.94,165.29,23.53,52.37,62.52,43.83,99.14,140.02,110.41,61.80,362.33,290.43,21.72,10.48,103.34
2021-08-25,144.71,164.96,23.38,52.78,62.79,44.01,100.36,140.83,110.43,61.87,365.18,289.85,22.14,10.47,107.88
2021-08-26,143.91,165.80,23.08,52.57,63.60,44.22,102.34,140.20,109.57,61.59,361.21,287.04,21.99,10.89,108.86
2021-08-27,144.94,167.48,23.30,53.24,64.25,45.15,104.30,142.74,110.07,61.56,369.39,287.65,22.56,10.84,109.22
2021-08-30,149.35,171.08,23.26,53.44,65.12,45.42,104.46,143.32,109.72,61.67,377.35,291.36,22.61,11.11,109.68
2021-08-31,148.09,173.54,23.10,54.26,66.02,45.27,105.57,143.43,110.81,61.65,376.08,289.72,22.31,10.93,109.70
2021-09-01,148.75,173.95,22.47,55.34,66.43,44.90,107.08,143.94,109.98,61.87,378.72,289.67,22.37,11.15,111.04
2021-09-02,149.87,173.16,22.74,55.55,67.42,44.78,107.75,142.03,110.54,61.80,372.01,289.02,22.32,11.16,111.34
2021-09-03,150.50,173.90,22.69,56.11,67.86,45.31,108.32,142.48,110.21,61.79,372.98,289.01,22.77,11.46,114.28
