Date,AAPL,AMZN,ANET,APO,ARES,AVGO,BX,GOOGL,IBM,KKR,META,MSFT,NVDA,OWL,TSM
2020-12-15,0.04887615,0.00257827,0.01844579,0.01019218,0.01534877,0.01508696,0.03165966,0.00502081,0.01924226,0.01039944,0.00494786,-0.00032661,0.00388104,0.00195899,0.01466587
2020-12-16,-0.00054765,0.02367866,0.02161812,0.02068720,0.00347474,0.01622872,-0.00322893,-0.00221136,-0.00302225,0.01452949,0.00043541,0.02376585,-0.00887148,0.00000000,0.00104605
2020-12-17,0.00693933,-0.00150688,-0.00115579,-0.00589616,0.00305587,0.00282040,0.00629454,-0.00953775,0.00000000,0.00520885,-0.00432616,0.00063845,0.00742933,0.00000000,-0.00822375
2020-12-18,-0.01597755,-0.01069640,0.00820122,-0.02602923,0.00486994,0.02814427,-0.01138963,-0.00824414,0.00238683,-0.00944553,0.00697060,-0.00379009,-0.00520404,0.05612517,0.00365059
2020-12-21,0.01231894,0.00141390,-0.00160003,-0.02157905,0.00222410,-0.01315658,-0.00232498,0.00481977,-0.01974085,-0.00852800,-0.01314686,0.01813377,0.00452916,-0.05514717,0.00526050
2020-12-22,0.02806708,0.00010603,0.01231678,0.02471361,-0.00587419,0.00979123,0.00603288,-0.00830171,0.00178146,-0.00530377,-0.02111663,0.00604673,-0.00405852,-0.00293698,-0.00852605
2020-12-23,-0.00700053,-0.00664918,-0.01500095,0.00478717,-0.00183024,-0.01779738,0.00323347,0.00464585,0.00234333,0.00404373,0.00381185,-0.01312490,-0.02046677,0.07550772,-0.00173339
2020-12-24,0.00768260,-0.00395724,0.00816929,0.01912637,-0.00142585,0.01400380,-0.00092268,0.00342509,0.00635597,0.00478032,-0.00265159,0.00779671,-0.00119227,0.05224729,0.02107542
2020-12-28,0.03514125,0.03447015,0.00724418,-0.01498241,-0.01065599,0.00097273,-0.00493599,0.02269130,0.00104205,-0.00907717,0.03527168,0.00987266,-0.00724087,0.01710920,0.00169711
2020-12-29,-0.01340460,0.01151705,-0.01189421,-0.00601479,-0.01661852,-0.00659742,-0.00201225,-0.00917405,-0.00820540,-0.00126737,-0.00079452,-0.00360741,0.00334706,-0.03101020,-0.00557359
2020-12-30,-0.00856336,-0.01094170,0.00506538,0.01055380,-0.00104803,0.01340514,0.00247605,-0.01231266,0.00435251,0.00657238,-0.01789892,-0.01108048,0.01552408,-0.01055421,0.03115047
2020-12-31,-0.00773205,-0.00884033,0.00555630,0.00820031,-0.01351063,0.00692101,0.00169874,0.00939566,0.01230918,0.01995576,0.00473383,0.00333265,-0.00692732,0.00617015,0.00128467
2021-01-04,-0.02503017,-0.02182110,-0.02583241,-0.02501430,-0.00789518,-0.02926961,-0.02832544,-0.01524132,-0.01553150,-0.02096391,-0.01556937,-0.02149538,0.00447102,-0.04309484,0.02410209
2021-01-05,0.01228778,0.00995465,0.01001469,0.00771545,-0.01141866,0.00675005,-0.00302019,0.00803200,0.01759485,-0.00963016,0.00751958,0.00096410,0.02196701,0.00548951,0.00953355
2021-01-06,-0.03424086,-0.02521178,-0.00048966,-0.01338359,0.01013249,-0.00618570,-0.01847892,-0.00991660,0.02466541,0.00203488,-0.02867597,-0.02627134,-0.06076249,-0.02400860,0.02487209
2021-01-07,0.03355372,0.00754857,0.03472096,-0.01271214,0.01659264,0.04127867,0.02514335,0.02943121,-0.00232294,0.02062429,0.02041240,0.02805946,0.05622028,-0.00093491,0.04911559
2021-01-08,0.00859443,0.00647451,0.03371906,0.00127865,0.00231803,0.00506178,-0.00523244,0.01315186,-0.00357279,0.00793490,-0.00436318,0.00607447,-0.00505280,0.00373506,-0.02282288
2021-01-11,-0.02352339,-0.02175438,-0.01037641,0.01059100,-0.01633988,0.00026919,-0.00334441,-0.02337668,0.00038931,0.00222034,-0.04092790,-0.00974581,0.02563514,0.00742798,0.03241200
2021-01-12,-0.00139646,0.00212354,0.04302714,-0.01016517,-0.00450310,0.00811043,-0.00175609,-0.01079684,0.00488751,-0.00395068,-0.02264203,-0.01184061,-0.01008998,0.01103980,0.00325730
2021-01-13,0.01609639,0.01433517,-0.02124984,0.00339998,-0.00581954,0.00404157,0.02196836,0.00563623,-0.01788204,0.01911352,0.00218811,0.00653877,0.00347929,0.01272703,-0.03113007
2021-01-14,-0.01524273,-0.01220978,0.01114460,0.02244452,-0.01043041,0.00190439,-0.00737447,-0.00939010,0.01602286,-0.00535423,-0.02413232,-0.01546504,-0.02480302,-0.00090353,0.05879265
2021-01-15,-0.01382574,-0.00745230,0.01259994,-0.00540791,-0.01407860,-0.01385467,-0.00236493,-0.00190843,-0.00450713,-0.00636463,0.02301902,-0.00173840,-0.02615269,-0.01457235,-0.00969496
